id,naslov,sezona,zacetek,konec,vir,epizode,dolzina,stevilo_clenov,najljubsi,ocena,opis,oznaka
1535,Death Note,Fall 2006,2006,2007,Manga,37,23 min. per ep.,2410185,136425,8.63,"A shinigami, as a god of death, can kill any person—provided they see their victim&#039;s face and write their victim&#039;s name in a notebook called a Death Note. One day, Ryuk, bored by the shinigami lifesty...",R
16498,Shingeki no Kyojin,Spring 2013,2013,2013,Manga,25,24 min. per ep.,2316411,113878,8.46,"Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly...",R
5114,Fullmetal Alchemist: Brotherhood,Spring 2009,2009,2010,Manga,64,24 min. per ep.,2090273,172608,9.21,"&quot;In order for something to be obtained, something of equal value must be lost.&quot; Alchemy is bound by this Law of Equivalent Exchange—something the young brothers Edward and Alphonse Elric only realize...",R
11757,Sword Art Online,Summer 2012,2012,2012,Light novel,25,23 min. per ep.,2088233,64536,7.28,"In the year 2022, virtual reality has progressed by leaps and bounds, and a massive online role-playing game called Sword Art Online (SAO) is launched. With the aid of &quot;NerveGear&quot; technology, players...",PG-13
30276,One Punch Man,Fall 2015,2015,2015,Web manga,12,24 min. per ep.,1979366,52089,8.59,"The seemingly ordinary and unimpressive Saitama has a rather unique hobby: being a hero. In order to pursue his childhood dream, he trained relentlessly for three years—and lost all of his hair in the...",R
22319,Tokyo Ghoul,Summer 2014,2014,2014,Manga,12,24 min. per ep.,1765304,42682,7.81,Tokyo has become a cruel and merciless city—a place where vicious creatures called “ghouls” exist alongside humans. The citizens of this once great metropolis live in constant fear of these bloodthirs...,R
31964,Boku no Hero Academia,Spring 2016,2016,2016,Manga,13,24 min. per ep.,1761362,46516,8.14,"The appearance of &quot;quirks,&quot; newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapes...",PG-13
20,Naruto,Fall 2002,2002,2007,Manga,220,23 min. per ep.,1699431,61345,7.9,"Moments prior to Naruto Uzumaki&#039;s birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi&#039;...",PG-13
9253,Steins;Gate,Spring 2011,2011,2011,Visual novel,24,24 min. per ep.,1681837,143451,9.12,"The self-proclaimed mad scientist Rintarou Okabe rents out a room in a rickety old building in Akihabara, where he indulges himself in his hobby of inventing prospective &quot;future gadgets&quot; with fellow l...",PG-13
11061,Hunter x Hunter (2011),Fall 2011,2011,2014,Manga,148,23 min. per ep.,1529228,136870,9.11,Hunter x Hunter is set in a world where Hunters exist to perform all manner of dangerous tasks like capturing criminals and bravely searching for lost treasures in uncharted territories. Twelve-year-o...,PG-13
6547,Angel Beats!,Spring 2010,2010,2010,Original,13,24 min. per ep.,1515002,45459,8.17,"Otonashi awakens only to learn he is dead. A rifle-toting girl named Yuri explains that they are in the afterlife, and Otonashi realizes the only thing he can remember about himself is his name. Yuri...",PG-13
1575,Code Geass: Hangyaku no Lelouch,Fall 2006,2006,2007,Original,25,24 min. per ep.,1505432,87564,8.72,"In the year 2010, the Holy Empire of Britannia is establishing itself as a dominant military nation, starting with the conquest of Japan. Renamed to Area 11 after its swift defeat, Japan has seen sign...",R
33486,Boku no Hero Academia 2nd Season,Spring 2017,2017,2017,Manga,25,23 min. per ep.,1486707,18343,8.37,"At UA Academy, not even a violent attack can disrupt their most prestigious event: the school sports festival. Renowned across Japan, this festival is an opportunity for aspiring heroes to showcase th...",PG-13
4224,Toradora!,Fall 2008,2008,2009,Light novel,25,24 min. per ep.,1465022,48873,8.26,"Ryuuji Takasu is a gentle high school student with a love for housework; but in contrast to his kind nature, he has an intimidating face that often gets him labeled as a delinquent. On the other hand...",PG-13
10620,Mirai Nikki,Fall 2011,2011,2012,Manga,26,23 min. per ep.,1459894,28871,7.57,"Lonely high school student, Yukiteru Amano, spends his days writing a diary on his cellphone, while conversing with his two seemingly imaginary friends Deus Ex Machina, who is the god of time and spac...",R+
20507,Noragami,Winter 2014,2014,2014,Manga,12,24 min. per ep.,1446525,28009,8.02,"In times of need, if you look in the right place, you just may see a strange telephone number scrawled in red. If you call this number, you will hear a young man introduce himself as the Yato God. Yat...",PG-13
1735,Naruto: Shippuuden,Winter 2007,2007,2017,Manga,500,23 min. per ep.,1419619,77701,8.16,"It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the myster...",PG-13
25777,Shingeki no Kyojin Season 2,Spring 2017,2017,2017,Manga,12,24 min. per ep.,1414760,15382,8.42,"For centuries, humanity has been hunted by giant, mysterious predators known as the Titans. Three mighty walls—Wall Maria, Rose, and Sheena—provided peace and protection for humanity for over a hundre...",R
31240,Re:Zero kara Hajimeru Isekai Seikatsu,Spring 2016,2016,2016,Light novel,25,25 min. per ep.,1387049,49581,8.3,"When Subaru Natsuki leaves the convenience store, the last thing he expects is to be wrenched from his everyday life and dropped into a fantasy world. Things aren&#039;t looking good for the bewildered tee...",R
21881,Sword Art Online II,Summer 2014,2014,2014,Light novel,24,23 min. per ep.,1355398,10099,6.83,"A year after escaping Sword Art Online, Kazuto Kirigaya has been settling back into the real world. However, his peace is short-lived as a new incident occurs in a game called Gun Gale Online, where a...",PG-13
9919,Ao no Exorcist,Spring 2011,2011,2011,Manga,25,24 min. per ep.,1342611,16397,7.61,"Humans and demons are two sides of the same coin, as are Assiah and Gehenna, their respective worlds. The only way to travel between the realms is by the means of possession, like in ghost stories. Ho...",PG-13
23273,Shigatsu wa Kimi no Uso,Fall 2014,2014,2015,Manga,22,22 min. per ep.,1342403,66565,8.76,"Music accompanies the path of the human metronome, the prodigious pianist Kousei Arima. But after the passing of his mother, Saki Arima, Kousei falls into a downward spiral, rendering him unable to he...",PG-13
22199,Akame ga Kill!,Summer 2014,2014,2014,Manga,24,23 min. per ep.,1320022,22227,7.56,"Night Raid is the covert assassination branch of the Revolutionary Army, an uprising assembled to overthrow Prime Minister Honest, whose avarice and greed for power has led him to take advantage of th...",R
31043,Boku dake ga Inai Machi,Winter 2016,2016,2016,Manga,12,23 min. per ep.,1270904,35144,8.39,"When tragedy is about to strike, Satoru Fujinuma finds himself sent back several minutes before the accident occurs. The detached, 29-year-old manga artist has taken advantage of this powerful yet mys...",R
6702,Fairy Tail,Fall 2009,2009,2013,Manga,175,24 min. per ep.,1254179,45760,7.71,"In the mystical land of Fiore, magic exists as an essential part of everyday life. Countless magic guilds lie at the core of all magical activity, and serve as venues for like-minded mages to band tog...",PG-13
38000,Kimetsu no Yaiba,Spring 2019,2019,2019,Manga,26,23 min. per ep.,1235666,44349,8.65,"Ever since the death of his father, the burden of supporting the family has fallen upon Tanjirou Kamado&#039;s shoulders. Though living impoverished on a remote mountain, the Kamado family are able to enjo...",R
269,Bleach,Fall 2004,2004,2012,Manga,366,24 min. per ep.,1222959,52420,7.8,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, wh...",PG-13
36456,Boku no Hero Academia 3rd Season,Spring 2018,2018,2018,Manga,25,23 min. per ep.,1220562,13090,8.3,"As summer arrives for the students at UA Academy, each of these superheroes-in-training puts in their best efforts to become renowned heroes. They head off to a forest training camp run by UA&#039;s pro he...",PG-13
2904,Code Geass: Hangyaku no Lelouch R2,Spring 2008,2008,2008,Original,25,24 min. per ep.,1206854,62031,8.91,"One year has passed since the Black Rebellion, a failed uprising against the Holy Britannian Empire led by the masked vigilante Zero, who is now missing. At a loss without their revolutionary leader,...",R
30831,Kono Subarashii Sekai ni Shukufuku wo!,Winter 2016,2016,2016,Light novel,10,23 min. per ep.,1198907,32985,8.16,"After dying a laughable and pathetic death on his way back from buying a game, high school student and recluse Kazuma Satou finds himself sitting before a beautiful but obnoxious goddess named Aqua. S...",PG-13
1,Cowboy Bebop,Spring 1998,1998,1999,Original,26,24 min. per ep.,1176190,59162,8.79,"In the year 2071, humanity has colonized several of the planets and moons of the solar system leaving the now uninhabitable surface of planet Earth behind. The Inter Solar System Police attempts to ke...",R
22535,Kiseijuu: Sei no Kakuritsu,Fall 2014,2014,2015,Manga,24,23 min. per ep.,1172868,25229,8.41,"All of a sudden, they arrived: parasitic aliens that descended upon Earth and quickly infiltrated humanity by burrowing into the brains of vulnerable targets. These insatiable beings acquire full cont...",R
3588,Soul Eater,Spring 2008,2008,2009,Manga,51,24 min. per ep.,1168461,23130,7.89,"Death City is home to the famous Death Weapon Meister Academy, a technical academy headed by the Shinigami—Lord Death himself. Its mission: to raise &quot;Death Scythes&quot; for the Shinigami to wield against...",PG-13
