id_studija,studio
11,Madhouse
858,Wit Studio
4,Bones
56,A-1 Pictures
1,Studio Pierrot
314,White Fox
132,P.A. Works
14,Sunrise
7,J.C.Staff
163,Asread
43,ufotable
41,Satelight
37,Studio Deen
456,Lerche
6,Gainax
10,Production I.G
38,Arms
112,Brain&#039;s Base
2,Kyoto Animation
44,Shaft
1835,CloverWorks
32,Manglobe
287,David Production
73,TMS Entertainment
18,Toei Animation
290,Kinema Citrus
569,MAPPA
292,AIC PLUS+
441,8bit
91,feel.
95,Doga Kobo
200,Tezuka Productions
75,Imagin
300,SILVER LINK.
8,Artland
309,GoHands
1567,Nut
436,AIC Build
839,LIDENFILMS
3,Gonzo
803,Trigger
94,Telecom Animation Film
120,TNK
103,Tatsunoko Production
911,Passione
218,Zexcs
418,Studio Gokumi
110,Triangle Staff
39,Daume
51,Diomedéa
1129,Pierrot Plus
1119,Shuka
28,OLM
1295,Pine Jam
1023,Polygon Pictures
1053,Production IMS
1109,Orange
1127,Studio 3Hz
1360,Hoods Drifters Studio
22,Nippon Animation
1379,Zero-G
1258,Bandai Namco Pictures
36,Gallop
27,Xebec
1103,TROYCA
247,Shin-Ei Animation
196,Production Reed
1087,Lay-duce
333,TYO Animations
334,Ordet
537,SANZIGEN
852,Nexus
1075,C-Station
48,AIC
126,Studio Comet
443,Studio PuYUKAI
541,Seven
5,Bee Train
35,Seven Arcs
1306,AIC Classic
957,Connect
1873,Silver
1237,Millepensee
951,NAZ
60,Actas
894,Graphinica
179,A.C.G.T.
88,AIC ASTA
34,Hal Film Maker
81,Radix
1264,EMT Squared
1393,Geno Studio
83,AIC Spirits
346,Hoods Entertainment
1591,Science SARU
118,SynergySP
30,Ajia-Do
354,Encourage Films
1864,Ezόla
70,Nomad
605,C2C
437,Kamikaze Douga
1471,Platinum Vision
455,Palm Studio
397,Bridge
1669,production doA
439,Project No.9
80,Trans Arts
1794,EKACHI EPILKA
1893,CygamesPictures
1974,ENGI
413,Pastel
1195,Creators in Pack
1978,Maho Film
24,Studio Fantasia
1536,Namu Animation
154,E&amp;G Films
101,Studio Hibari
1440,Felix Film
1692,Revoroot
1722,Bibury Animation Studios
271,Barnum Studio
96,Yumeta Company
601,ixtl
86,Group TAC
1340,Typhoon Graphics
1325,Haoliners Animation League
406,Asahi Production
276,DLE
1829,Lesprit
1314,Gaina
1244,Studio VOLN
1169,ILCA
1299,AXsiZ
65,Tokyo Movie Shinsha
235,Shirogumi
866,Fanworks
1560,Yaoyorozu
463,M.S.C
390,Tsuchida Productions
318,WAO World
68,Mushi Production
1547,Blade
1569,Seven Arcs Pictures
122,Tokyo Kids
400,Gathering
1521,Studio elle
169,Fuji TV
1530,Emon
131,G&amp;G Entertainment
890,Karaku
63,Trinet Entertainment
1111,DandeLion Animation Studio
1983,Anima&amp;Co.
1857,GEEK TOYS
1529,Studio M2
229,The Answer Studio
1281,Office DCI
1853,Saetta
715,Dwango
176,Ginga Ya
175,Planet
1265,Tomovies
753,PRA
1687,Yokohama Animation Lab
1067,Rising Force
322,Bee Media
280,Studio Junio
49,Remic
13,Studio 4°C
521,Anpro
21,Studio Ghibli
1209,Studio A-CAT
93,Studio Flag
1693,Studio Flad
69,Front Line
78,Picture Magic
1903,IMAGICA Lab.
1972,HOTZIPANG
358,Telescreen
856,Charaction
1437,Ishimori Entertainment
107,Plum
1266,Studio! Cucuri
1383,Studio Live
1998,Studio Signpost
1487,Bouncy
474,Shogakukan Music &amp; Digital Entertainment
587,Tomason
1257,A-Real
2085,Acca effe
1278,Signal.MD
1849,MASTER LIGHTS
1661,drop
2115,Gosay Studio
1291,KOO-KI
367,Heewon Entertainment
1514,Tengu Kobo
1967,Drive
1396,W-Toon Studio
207,Magic Bus
432,Kachidoki Studio
833,Kyotoma
50,KSS
329,Phoenix Entertainment
77,APPP
723,Hotline
444,Jinnis Animation Studios
242,Ashi Production
473,Ascension
258,Echo
291,CoMix Wave Films
409,Studio Egg
1999,Albacrow
1435,JCF
191,Eiken
1442,Mook DLE
563,LandQ studios
111,NHK
1769,helo.inc
462,Chaos Project
1945,Lide
1013,Opera House
338,Studio Bogey
330,Kanaban Graphics
420,ACC Production
1296,Marza Animation Planet
79,Genco
896,Larx Entertainment
1065,Public &amp; Basic
1263,Dynamo Pictures
311,Enoki Films
805,AIC Frontier
398,Milky Cartoon
589,Academy Productions
1407,Children&#039;s Playground Entertainment
2057,Toho Interactive Animation
136,Vega Entertainment
1971,Gainax Kyoto
326,Animation 21
1662,Creators Dot Com
2080,Super Normal Studio
1545,Japan Taps
1191,Azeta Pictures
228,Daewon Media
