anime,studio
1535,11
16498,858
5114,4
11757,56
30276,11
22319,1
31964,4
20,1
9253,314
11061,11
6547,132
1575,14
33486,4
4224,7
10620,163
20507,4
1735,1
25777,858
31240,314
21881,56
9919,56
23273,56
22199,314
31043,56
6702,41
38000,43
269,1
36456,4
2904,14
30831,37
1,14
22535,11
3588,4
2001,6
13601,10
11111,132
24833,456
27899,1
32182,4
226,38
28223,11
121,4
9989,56
30,6
20583,10
6746,112
2167,2
35760,858
10087,43
28121,7
5081,44
15809,314
30503,4
29803,11
28999,132
37779,1835
33352,2
9756,44
32937,37
10793,10
14813,112
34134,7
6880,32
14741,2
38524,858
35849,56
14719,287
12189,2
4181,2
13759,7
205,32
813,18
38408,4
26243,858
37450,1835
17265,41
38691,73
4898,56
35790,290
30654,456
7054,7
37999,56
18897,44
18153,2
34599,290
23283,569
28891,10
853,4
11741,43
11771,10
34933,569
37510,4
5680,2
2025,4
14513,56
849,2
14227,112
33206,2
20785,11
31478,4
918,14
356,37
22297,43
223,18
34577,56
15583,292
2251,112
20787,290
22043,56
30015,73
23847,91
889,11
37430,441
14345,11
16592,456
32935,10
37349,314
23289,95
17895,7
36511,1
20899,287
38671,287
37520,200
2966,75
934,37
6045,10
10165,2
4654,7
35073,11
18115,56
27775,95
11887,300
13125,56
36474,56
24439,4
35062,858
457,8
37521,858
11759,14
26055,287
28907,56
19,11
14467,309
31933,287
11843,14
28623,858
28701,43
32615,1567
40591,56
245,1
25013,1
249,14
30484,314
1482,73
16894,10
21995,10
8769,436
18507,2
6,11
28677,839
1210,3
39587,314
270,3
32995,569
35507,456
1818,11
33255,7
31859,56
1887,2
6347,300
31798,803
32542,37
11633,112
33487,300
37675,11
32729,94
28927,858
30694,18
2476,120
16742,300
8525,32
33506,56
18671,2
17074,44
22789,290
23281,103
37991,287
7791,2
40221,94
24415,10
35968,56
22147,2
7674,7
27787,44
28497,911
14075,4
28825,95
790,32
23321,37
3457,37
28297,11
14289,218
37347,7
34902,418
339,110
355,7
32951,839
225,18
7724,39
392,1
16067,132
15315,51
1604,8
9513,1129
32867,4
5630,10
6213,7
32998,1119
527,28
33489,803
32949,456
17729,441
34280,1295
30123,4
31580,1023
31646,44
6594,314
19163,1053
22729,56
34618,56
37799,1
2034,18
33,28
8425,4
6707,56
41353,569
4382,2
25183,32
14967,436
14713,73
27631,43
120,37
71,3
38883,10
4081,112
31637,56
39195,1109
36475,1127
31339,1360
37141,287
34542,569
11013,287
136,22
37105,1379
39597,56
5341,112
877,11
8675,309
10162,10
37086,569
28977,1258
14749,56
31442,2
45,36
23199,1119
1889,37
38101,200
237,4
263,11
1691,3
1519,11
21603,44
15225,7
16011,441
37982,51
40839,73
32105,1
39701,37
5530,27
8937,7
36649,569
34561,1103
13659,436
6956,56
9969,14
35994,7
15051,14
6573,4
14833,38
39547,91
31181,44
25835,132
35860,247
34822,91
38680,73
10800,11
33731,95
36296,91
24765,456
31636,91
232,11
19221,51
35839,11
35203,196
38659,314
31953,95
36882,163
21843,569
23673,333
36563,73
31741,1087
34662,56
34881,51
467,10
9656,10
10080,32
27989,2
34497,300
552,18
10161,4
34612,7
150,10
25159,803
21855,44
40496,300
12445,300
8516,300
20031,112
33988,56
36407,300
20853,4
8630,7
37976,569
27831,1119
11433,7
21405,112
11285,334
32887,7
29095,441
35972,56
32093,300
28249,537
4752,37
22265,2
7785,11
6114,11
40956,287
35557,1109
3470,3
20541,95
154,27
27833,1119
34451,4
7647,44
16049,7
40540,56
16417,2
17549,300
10030,7
22145,56
228,37
2605,44
8676,48
38656,852
16524,10
481,36
34798,1075
11785,27
12531,200
21431,38
323,11
40776,10
19369,91
32899,112
24,126
38003,4
2787,7
34934,839
16706,32
2104,3
26349,541
530,18
38472,443
202,4
33502,41
5682,5
12413,314
37171,456
10396,287
12365,7
27655,56
30911,43
1292,3
35247,44
20057,4
66,7
9289,132
1698,7
101,2
1726,11
15379,1306
4975,11
6033,18
40454,7
38483,957
22135,103
72,2
38790,300
11703,290
33475,300
27991,309
35180,44
57,11
31163,1109
21327,112
39017,112
10163,103
12291,48
9379,44
39534,456
38186,1873
10721,112
861,10
32379,1237
20689,951
32189,456
10490,10
24405,18
31764,11
8086,218
11933,11
3002,11
1559,73
41389,35
31173,4
25681,73
17513,218
7769,7
21085,7
13655,7
15085,112
6211,4
1530,2
22663,51
68,3
73,2
16918,56
3731,73
30016,41
38668,569
22101,1
32828,73
35838,314
6512,48
21939,8
14131,60
33253,1023
35076,894
2924,44
7592,37
35413,300
486,179
28735,37
38759,95
37497,132
185,36
10588,88
38555,300
37435,4
33028,456
4722,34
10521,56
15417,14
35639,1295
29758,7
16,7
34636,10
14829,300
31376,7
31952,91
387,81
36633,7
6811,14
4725,83
37475,839
2246,18
10568,7
38572,1264
6773,7
34279,56
36028,1393
19111,14
39710,95
36793,346
19769,11
5300,112
34176,314
60,3
12467,346
10379,112
5258,11
19775,1023
20847,309
177,5
34914,95
1222,8
13535,14
25283,51
21561,56
35847,803
31229,112
170,18
38753,1087
329,14
1571,7
24701,8
2026,118
32648,51
29785,73
34096,14
801,10
