anime,zanr
5,action
5,genetic modification
5,military
5,novel
5,romance
5,science fiction
5,space travel
7,action
7,adventure
7,fantasy
7,mina
7,new
7,samurai
13,action
13,conspiracy
13,gunfights
13,martial arts
13,new
13,seinen
13,tragedy
15,erotic game
15,fantasy
15,game
15,high school
15,magic
15,romance
15,school life
15,seinen
15,tragedy
15,visual novel
17,action
17,comedy
17,mecha
17,military
17,novel
17,parallel world
17,piloted robot
17,romance
17,science fiction
17,seinen
18,nudity
18,sex
18,comedy
18,humanoid alien
18,military
18,novel
18,parody
18,science fiction
18,space travel
21,idol
21,manga
21,music
21,romance
21,shoujo
30,action
30,bishounen
30,contemporary fantasy
30,fantasy
30,magic
30,manga
30,shoujo
30,super power
30,tragedy
32,action
32,contemporary fantasy
32,fantasy
32,gunfights
32,horror
32,law and order
32,manga
32,police
32,seinen
32,vampire
32,violence
34,angst
34,bishounen
34,comedy
34,contemporary fantasy
34,fantasy
34,high school
34,magic
34,manga
34,reverse harem
34,romance
34,school life
34,shoujo
34,tragedy
35,comedy
35,daily life
35,ecchi
35,harem
35,manga
35,romance
35,shounen
35,violent retribution for accidental infringement
39,action
39,comedy
39,fantasy
39,magic
39,novel
43,action
43,horror
43,new
43,seinen
43,swordplay
43,vampire
43,violence
47,action
47,new
47,proxy battles
47,science fiction
47,shounen
47,super power
47,tragedy
50,action
50,alien
50,angst
50,mecha
50,military
50,new
50,science fiction
50,shounen
50,tragedy
53,action
53,alien
53,angst
53,comedy
53,gunfights
53,humanoid alien
53,law and order
53,manga
53,post-apocalyptic
53,science fiction
53,shounen
53,tragedy
53,violence
56,action
56,comedy
56,manga
56,middle school
56,school clubs
56,school life
56,shounen
56,sports
56,tennis
69,action
69,adventure
69,comedy
69,fantasy
69,gunfights
69,manga
69,martial arts
69,shounen
69,super power
69,swordplay
75,comedy
75,fantasy
75,high school
75,manga
75,reverse harem
75,romance
75,school life
75,shounen
77,action
77,air force
77,alien
77,humanoid alien
77,idol
77,love polygon
77,mecha
77,military
77,music
77,new
77,piloted robot
77,romance
77,science fiction
77,transforming craft
77,violence
78,android
78,conspiracy
78,manga
78,mecha
78,science fiction
78,steampunk
79,action
79,adventure
79,comedy
79,elf
79,fantasy
79,magic
79,manga
79,martial arts
79,shounen
82,action
82,comedy
82,harem
82,mecha
82,new
82,parallel world
82,piloted robot
82,science fiction
83,action
83,angst
83,conspiracy
83,dieselpunk
83,gunfights
83,law and order
83,manga
83,military
83,police
83,romance
83,seinen
83,thriller
83,tragedy
83,violence
84,nudity
84,sex
84,manga
84,shounen
84,sports
86,action
86,demon
86,fantasy
86,historical
86,love polygon
86,manga
86,martial arts
86,samurai
86,shounen
90,action
90,adventure
90,Bakumatsu - Meiji Period
90,comedy
90,historical
90,manga
90,martial arts
90,romance
90,samurai
90,shounen
90,super power
90,swordplay
90,tragedy
91,action
91,comedy
91,humanoid alien
91,love polygon
91,manga
91,school life
